#,Position,Type,Poids %,Δ poids (pts),Titres,Δ titres %,Δ prix %,Statut,Valeur $,T1 26,T4 25,T3 25,T2 25,T1 25,T4 24
38,TER,Actions,0.4484979323380179,0.3074933246599001,338946.0,69.6757625362308,53.161810681292046,Renforcé,100483931.0,0.4484979323380179,0.14100460767811782,0.11183984692070871,,,
39,CSX,Actions,0.4351933920959798,0.34385101467325757,2375228.0,243.7541879713503,13.241377715515789,Renforcé,97503109.0,0.4351933920959798,0.09134237742272223,0.02155943910100322,0.015739101719707545,0.10034439454324835,0.0468778503844701
40,CRDO,Actions,0.4307934504652558,0.2622962121683222,1028202.0,220.20142567523382,-34.76266604612563,Renforcé,96517322.0,0.4307934504652558,0.1684972382969336,0.20124072308913976,,,
41,VOO,Actions,0.4230755484538432,0.33957748688114836,158628.0,334.47822514379624,-4.716724553484253,Renforcé,94788161.0,0.4230755484538432,0.08349806157269483,0.005088038345615696,,0.01813238955444991,
42,IEMG,Actions,0.41808630680850706,0.10636589702546256,1342944.0,5.608326970094217,3.7637607126457473,Renforcé,93670344.0,0.41808630680850706,0.3117204097830445,0.2998047400717695,4.16072104309961,4.74675309802016,4.22796462290317
43,C,Actions,0.4016197298903208,0.0967946217905471,793414.0,10.761735245873034,-2.810865826642084,Renforcé,89981082.0,0.4016197298903208,0.3048251080997737,0.5014039368270123,0.5601229911246172,0.6625850243564307,0.506148246805585
44,ARM,Actions,0.4006492572539721,0.27056924365179674,593361.0,81.83408923755823,38.39538991253655,Renforcé,89763652.0,0.4006492572539721,0.13008001360217536,,0.3090560162949234,,
45,PCAR,Actions,0.4005964286924864,,777072.0,,,Nouveau,89751816.0,0.4005964286924864,,,,,
46,NRG,Actions,0.3838670836878028,0.162691559971371,588502.0,54.51478322056549,-8.226576475384073,Renforcé,86003682.0,0.3838670836878028,0.22117552371643182,0.20659670982547904,0.5292374332892232,0.289731709050127,0.4903183558006947
47,TLN,Actions,0.3791497466670986,0.01657421914206525,266099.0,0.32234470902263573,-14.83566301997965,Inchangé,84946784.0,0.3791497466670986,0.36257552752503336,0.24773432667785214,0.1794427725473426,0.04822464138114631,0.019737743287972405
48,BKR,Actions,0.3764835155921256,0.3167308143048141,1381645.0,284.00681495398794,34.05797372619903,Renforcé,84349427.0,0.3764835155921256,0.059752701287311506,0.014120352528551733,,0.06935028473054214,0.06590357875374996
49,EMXC,Actions,0.3764661887523413,,1072280.0,,,Nouveau,84345545.0,0.3764661887523413,,,,,
50,SNPS,Actions,0.3687099596999117,,208353.0,,,Nouveau,82607797.0,0.3687099596999117,,,0.06529342162718428,0.16990714860485673,0.0761851332322799
51,ALAB,Actions,0.36734964209517496,0.22142617001920634,750940.0,212.20222009728516,-34.11877888182282,Renforcé,82303024.0,0.36734964209517496,0.14592347207596862,0.013405810428899288,0.029263931316516927,,
