date,ticker,action,status,price,amount_usd,shares
2021-06-30,ABBV,position 13F (trimestre),exécuté,249.86151123046875,5129122371.789001,20527861
2021-06-30,AMZN,position 13F (trimestre),exécuté,238.33999633789062,27123091.583251953,113800
2021-06-30,AXP,position 13F (trimestre),exécuté,337.32659912109375,472160426.0355835,1399713
2021-06-30,AAPL,position 13F (trimestre),exécuté,289.3599853515625,1092623304.6875,3776000
2021-06-30,BAC,position 13F (trimestre),exécuté,56.97999954223633,558403995.513916,9800000
2021-06-30,BNY,position 13F (trimestre),exécuté,144.0366973876953,308238532.40966797,2140000
2021-06-30,BMY,position 13F (trimestre),exécuté,56.976829528808594,1498163911.4671478,26294266
2021-06-30,CHTR,position 13F (trimestre),exécuté,142.2100067138672,741406323.8124847,5213461
2021-06-30,CVX,position 13F (trimestre),exécuté,165.75999450683594,3833020852.1765137,23123920
2021-06-30,KO,position 13F (trimestre),exécuté,81.2699966430664,78019196.77734375,960000
2021-06-30,DVA,position 13F (trimestre),exécuté,222.47999572753906,4118879396.2618713,18513482
2021-06-30,GM,position 13F (trimestre),exécuté,77.08000183105469,1134344224.1866302,14716453
2021-06-30,GL,position 13F (trimestre),exécuté,178.35330200195312,626840693.5693665,3514601
2021-06-30,JNJ,position 13F (trimestre),exécuté,253.97000122070312,83073587.39929199,327100
2021-06-30,KHC,position 13F (trimestre),exécuté,23.6200008392334,7691494674.443615,325634818
2021-06-30,KR,position 13F (trimestre),exécuté,55.529998779296875,1513595614.5269775,27257260
2021-06-30,MRSH,position 13F (trimestre),exécuté,165.732421875,695527929.0234375,4196692
2021-06-30,MA,position 13F (trimestre),exécuté,512.740478515625,2340535175.7470703,4564756
2021-06-30,MRK,position 13F (trimestre),exécuté,128.5,1176699172.0,9157192
2021-06-30,MDLZ,position 13F (trimestre),exécuté,57.84000015258789,33431520.0881958,578000
2021-06-30,MCO,position 13F (trimestre),exécuté,452.9200134277344,5717549019.508362,12623750
2021-06-30,OGN,position 13F (trimestre),exécuté,13.539999961853027,20993512.680853844,1550481
2021-06-30,PG,position 13F (trimestre),exécuté,145.55343627929688,45907553.802490234,315400
2021-06-30,RH,position 13F (trimestre),exécuté,164.72999572753906,155682859.6321869,945079
2021-06-30,SPY,position 13F (trimestre),exécuté,746.77001953125,29422738.76953125,39400
2021-06-30,SNOW,position 13F (trimestre),exécuté,254.5,1558908192.0,6125376
2021-06-30,TMUS,position 13F (trimestre),exécuté,167.72999572753906,783634540.0390625,4672000
2021-06-30,TEVA,position 13F (trimestre),exécuté,33.880001068115234,618469594.2981339,18254710
2021-06-30,USB,position 13F (trimestre),exécuté,60.400001525878906,105398002.66265869,1745000
2021-06-30,UPS,position 13F (trimestre),exécuté,107.5,6385500.0,59400
2021-06-30,VOO,position 13F (trimestre),exécuté,686.8099975585938,29532829.89501953,43000
2021-06-30,VRSN,position 13F (trimestre),exécuté,251.55999755859375,1988702781.0595093,7905481
2021-06-30,VZ,position 13F (trimestre),exécuté,41.63032531738281,6611918725.645065,158824575
2021-06-30,V,position 13F (trimestre),exécuté,343.0899963378906,3426597614.824829,9987460
2021-06-30,WFC,position 13F (trimestre),exécuté,82.63999938964844,55786462.14797974,675054
2021-06-30,AON,position 13F (trimestre),exécuté,331.69000244140625,581185232.1378174,1752194
2021-06-30,STNE,position 13F (trimestre),exécuté,10.84000015258789,115938657.95199585,10695448
2021-06-30,LILA,position 13F (trimestre),exécuté,7.840000152587891,12741450.647983551,1625185
2021-06-30,LILAK,position 13F (trimestre),exécuté,7.789999961853027,10002515.751018524,1284020
2021-09-30,ABBV,position 13F (trimestre),exécuté,249.86151123046875,3597627971.1137695,14398488
2021-09-30,AMZN,position 13F (trimestre),exécuté,238.33999633789062,27123091.583251953,113800
2021-09-30,AXP,position 13F (trimestre),exécuté,337.32659912109375,472160426.0355835,1399713
2021-09-30,AAPL,position 13F (trimestre),exécuté,289.3599853515625,1092623304.6875,3776000
2021-09-30,BAC,position 13F (trimestre),exécuté,56.97999954223633,558403995.513916,9800000
2021-09-30,BNY,position 13F (trimestre),exécuté,144.0366973876953,308238532.40966797,2140000
2021-09-30,BMY,position 13F (trimestre),exécuté,56.976829528808594,1256164514.1045532,22046936
2021-09-30,CHTR,position 13F (trimestre),exécuté,142.2100067138672,597371051.6624451,4200626
2021-09-30,CVX,position 13F (trimestre),exécuté,165.75999450683594,4757895151.766861,28703519
2021-09-30,KO,position 13F (trimestre),exécuté,81.2699966430664,78019196.77734375,960000
2021-09-30,DVA,position 13F (trimestre),exécuté,222.47999572753906,4118879396.2618713,18513482
2021-09-30,FND,position 13F (trimestre),exécuté,59.36000061035156,27786416.285705566,468100
2021-09-30,GM,position 13F (trimestre),exécuté,77.08000183105469,1134344224.1866302,14716453
2021-09-30,GL,position 13F (trimestre),exécuté,178.35330200195312,626840693.5693665,3514601
2021-09-30,JNJ,position 13F (trimestre),exécuté,253.97000122070312,83073587.39929199,327100
2021-09-30,KHC,position 13F (trimestre),exécuté,23.6200008392334,7691494674.443615,325634818
2021-09-30,KR,position 13F (trimestre),exécuté,55.529998779296875,1513595614.5269775,27257260
2021-09-30,MRSH,position 13F (trimestre),exécuté,165.732421875,454397696.3378906,2741755
2021-09-30,MA,position 13F (trimestre),exécuté,512.740478515625,2198963427.705078,4288648
2021-09-30,MDLZ,position 13F (trimestre),exécuté,57.84000015258789,33431520.0881958,578000
2021-09-30,MCO,position 13F (trimestre),exécuté,452.9200134277344,5717549019.508362,12623750
2021-09-30,PG,position 13F (trimestre),exécuté,145.55343627929688,45907553.802490234,315400
2021-09-30,RH,position 13F (trimestre),exécuté,164.72999572753906,155682859.6321869,945079
2021-09-30,SPY,position 13F (trimestre),exécuté,746.77001953125,29422738.76953125,39400
2021-09-30,SNOW,position 13F (trimestre),exécuté,254.5,1558908192.0,6125376
2021-09-30,TMUS,position 13F (trimestre),exécuté,167.72999572753906,783634540.0390625,4672000
2021-09-30,TEVA,position 13F (trimestre),exécuté,33.880001068115234,618469594.2981339,18254710
2021-09-30,USB,position 13F (trimestre),exécuté,60.400001525878906,105398002.66265869,1745000
2021-09-30,UPS,position 13F (trimestre),exécuté,107.5,6385500.0,59400
2021-09-30,VOO,position 13F (trimestre),exécuté,686.8099975585938,29532829.89501953,43000
2021-09-30,VRSN,position 13F (trimestre),exécuté,251.55999755859375,1988702781.0595093,7905481
2021-09-30,VZ,position 13F (trimestre),exécuté,41.63032531738281,6611918725.645065,158824575
2021-09-30,V,position 13F (trimestre),exécuté,343.0899963378906,3280784366.3812256,9562460
2021-09-30,WFC,position 13F (trimestre),exécuté,82.63999938964844,55786462.14797974,675054
2021-09-30,AON,position 13F (trimestre),exécuté,331.69000244140625,581185232.1378174,1752194
2021-09-30,RPRX,position 13F (trimestre),exécuté,56.06999969482422,737090721.1281891,13145902
2021-09-30,STNE,position 13F (trimestre),exécuté,10.84000015258789,115938657.95199585,10695448
2021-09-30,LILA,position 13F (trimestre),exécuté,7.840000152587891,12741450.647983551,1625185
2021-09-30,LILAK,position 13F (trimestre),exécuté,7.789999961853027,10002515.751018524,1284020
2021-12-31,ABBV,position 13F (trimestre),exécuté,249.86151123046875,757970135.869812,3033561
2021-12-31,AMZN,position 13F (trimestre),exécuté,238.33999633789062,27123091.583251953,113800
2021-12-31,AXP,position 13F (trimestre),exécuté,337.32659912109375,472160426.0355835,1399713
2021-12-31,AAPL,position 13F (trimestre),exécuté,289.3599853515625,1092623304.6875,3776000
2021-12-31,BAC,position 13F (trimestre),exécuté,56.97999954223633,558403995.513916,9800000
2021-12-31,BNY,position 13F (trimestre),exécuté,144.0366973876953,308238532.40966797,2140000
2021-12-31,BMY,position 13F (trimestre),exécuté,56.976829528808594,296431869.5919647,5202674
2021-12-31,CHTR,position 13F (trimestre),exécuté,142.2100067138672,544513725.3170013,3828941
2021-12-31,CVX,position 13F (trimestre),exécuté,165.75999450683594,6339496957.273743,38245036
2021-12-31,KO,position 13F (trimestre),exécuté,81.2699966430664,78019196.77734375,960000
2021-12-31,DVA,position 13F (trimestre),exécuté,222.47999572753906,4118879396.2618713,18513482
2021-12-31,FND,position 13F (trimestre),exécuté,59.36000061035156,27786416.285705566,468100
2021-12-31,GM,position 13F (trimestre),exécuté,77.08000183105469,1134344224.1866302,14716453
2021-12-31,GL,position 13F (trimestre),exécuté,178.35330200195312,626840693.5693665,3514601
2021-12-31,JNJ,position 13F (trimestre),exécuté,253.97000122070312,83073587.39929199,327100
2021-12-31,KHC,position 13F (trimestre),exécuté,23.6200008392334,7691494674.443615,325634818
2021-12-31,KR,position 13F (trimestre),exécuté,55.529998779296875,1513595614.5269775,27257260
2021-12-31,MRSH,position 13F (trimestre),exécuté,165.732421875,67106880.673828125,404911
2021-12-31,MA,position 13F (trimestre),exécuté,512.740478515625,2044115803.1933594,3986648
2021-12-31,MDLZ,position 13F (trimestre),exécuté,57.84000015258789,33431520.0881958,578000
2021-12-31,MCO,position 13F (trimestre),exécuté,452.9200134277344,5717549019.508362,12623750
2021-12-31,PG,position 13F (trimestre),exécuté,145.55343627929688,45907553.802490234,315400
2021-12-31,RH,position 13F (trimestre),exécuté,164.72999572753906,155682859.6321869,945079
2021-12-31,SPY,position 13F (trimestre),exécuté,746.77001953125,29422738.76953125,39400
2021-12-31,SNOW,position 13F (trimestre),exécuté,254.5,1558908192.0,6125376
2021-12-31,TMUS,position 13F (trimestre),exécuté,167.72999572753906,783634540.0390625,4672000
2021-12-31,USB,position 13F (trimestre),exécuté,60.400001525878906,105398002.66265869,1745000
2021-12-31,UPS,position 13F (trimestre),exécuté,107.5,6385500.0,59400
2021-12-31,VOO,position 13F (trimestre),exécuté,686.8099975585938,29532829.89501953,43000
2021-12-31,VRSN,position 13F (trimestre),exécuté,251.55999755859375,1988702781.0595093,7905481
2021-12-31,VZ,position 13F (trimestre),exécuté,41.63032531738281,6611918725.645065,158824575
2021-12-31,V,position 13F (trimestre),exécuté,343.0899963378906,2846775521.013794,8297460
2021-12-31,WFC,position 13F (trimestre),exécuté,82.63999938964844,55786462.14797974,675054
2021-12-31,AON,position 13F (trimestre),exécuté,331.69000244140625,581185232.1378174,1752194
2021-12-31,RPRX,position 13F (trimestre),exécuté,56.06999969482422,484908384.12075806,8648268
2021-12-31,STNE,position 13F (trimestre),exécuté,10.84000015258789,115938657.95199585,10695448
2021-12-31,LILA,position 13F (trimestre),exécuté,7.840000152587891,12741450.647983551,1625185
2021-12-31,LILAK,position 13F (trimestre),exécuté,7.789999961853027,10002515.751018524,1284020
2022-03-31,ALLY,position 13F (trimestre),exécuté,45.95000076293945,33057349.5488739,719420
2022-03-31,AMZN,position 13F (trimestre),exécuté,238.33999633789062,27123091.583251953,113800
2022-03-31,AXP,position 13F (trimestre),exécuté,337.32659912109375,472160426.0355835,1399713
2022-03-31,AAPL,position 13F (trimestre),exécuté,289.3599853515625,1092623304.6875,3776000
2022-03-31,BAC,position 13F (trimestre),exécuté,56.97999954223633,558403995.513916,9800000
2022-03-31,BNY,position 13F (trimestre),exécuté,144.0366973876953,308238532.40966797,2140000
2022-03-31,CE,position 13F (trimestre),exécuté,45.96891784667969,209501780.1430359,4557466
2022-03-31,CHTR,position 13F (trimestre),exécuté,142.2100067138672,544513725.3170013,3828941
2022-03-31,CVX,position 13F (trimestre),exécuté,165.75999450683594,3812479.8736572266,23000
2022-03-31,C,position 13F (trimestre),exécuté,139.9600067138672,421699500.22888184,3013000
2022-03-31,KO,position 13F (trimestre),exécuté,81.2699966430664,78019196.77734375,960000
2022-03-31,DVA,position 13F (trimestre),exécuté,222.47999572753906,4118879396.2618713,18513482
2022-03-31,FND,position 13F (trimestre),exécuté,59.36000061035156,27786416.285705566,468100
2022-03-31,GM,position 13F (trimestre),exécuté,77.08000183105469,1134344224.1866302,14716453
2022-03-31,GL,position 13F (trimestre),exécuté,178.35330200195312,626840693.5693665,3514601
2022-03-31,HPQ,position 13F (trimestre),exécuté,21.940000534057617,2450698.059654236,111700
2022-03-31,JNJ,position 13F (trimestre),exécuté,253.97000122070312,83073587.39929199,327100
2022-03-31,KHC,position 13F (trimestre),exécuté,23.6200008392334,7691494674.443615,325634818
2022-03-31,KR,position 13F (trimestre),exécuté,55.529998779296875,1513595614.5269775,27257260
2022-03-31,MKL,position 13F (trimestre),exécuté,1953.010009765625,6347282.531738281,3250
2022-03-31,MRSH,position 13F (trimestre),exécuté,165.732421875,67106880.673828125,404911
2022-03-31,MA,position 13F (trimestre),exécuté,512.740478515625,2044115803.1933594,3986648
2022-03-31,MCK,position 13F (trimestre),exécuté,755.5999755859375,285220100.78430176,377475
2022-03-31,MDLZ,position 13F (trimestre),exécuté,57.84000015258789,33431520.0881958,578000
2022-03-31,MCO,position 13F (trimestre),exécuté,452.9200134277344,5717549019.508362,12623750
2022-03-31,OXY,position 13F (trimestre),exécuté,48.56999969482422,233126284.5352173,4799800
2022-03-31,PG,position 13F (trimestre),exécuté,145.55343627929688,45907553.802490234,315400
2022-03-31,RH,position 13F (trimestre),exécuté,164.72999572753906,168770657.79273987,1024529
2022-03-31,SPY,position 13F (trimestre),exécuté,746.77001953125,29422738.76953125,39400
2022-03-31,SNOW,position 13F (trimestre),exécuté,254.5,1558908192.0,6125376
2022-03-31,TMUS,position 13F (trimestre),exécuté,167.72999572753906,783634540.0390625,4672000
2022-03-31,USB,position 13F (trimestre),exécuté,60.400001525878906,105398002.66265869,1745000
2022-03-31,UPS,position 13F (trimestre),exécuté,107.5,6385500.0,59400
2022-03-31,VOO,position 13F (trimestre),exécuté,686.8099975585938,29532829.89501953,43000
2022-03-31,VRSN,position 13F (trimestre),exécuté,251.55999755859375,1988702781.0595093,7905481
2022-03-31,VZ,position 13F (trimestre),exécuté,41.63032531738281,57454469.90409851,1380111
2022-03-31,V,position 13F (trimestre),exécuté,343.0899963378906,2846775521.013794,8297460
2022-03-31,AON,position 13F (trimestre),exécuté,331.69000244140625,581185232.1378174,1752194
2022-03-31,RPRX,position 13F (trimestre),exécuté,56.06999969482422,83901577.5833435,1496372
2022-03-31,STNE,position 13F (trimestre),exécuté,10.84000015258789,115938657.95199585,10695448
2022-03-31,LILA,position 13F (trimestre),exécuté,7.840000152587891,12741450.647983551,1625185
2022-03-31,LILAK,position 13F (trimestre),exécuté,7.789999961853027,10002515.751018524,1284020
2022-06-30,ALLY,position 13F (trimestre),exécuté,45.95000076293945,58586250.9727478,1275000
2022-06-30,AMZN,position 13F (trimestre),exécuté,238.33999633789062,542461831.6650391,2276000
2022-06-30,AXP,position 13F (trimestre),exécuté,337.32659912109375,472160426.0355835,1399713
2022-06-30,AAPL,position 13F (trimestre),exécuté,289.3599853515625,1092623304.6875,3776000
2022-06-30,BAC,position 13F (trimestre),exécuté,56.97999954223633,558403995.513916,9800000
2022-06-30,BNY,position 13F (trimestre),exécuté,144.0366973876953,308238532.40966797,2140000
2022-06-30,CE,position 13F (trimestre),exécuté,45.96891784667969,209501780.1430359,4557466
2022-06-30,CHTR,position 13F (trimestre),exécuté,142.2100067138672,544513725.3170013,3828941
2022-06-30,CVX,position 13F (trimestre),exécuté,165.75999450683594,3812479.8736572266,23000
2022-06-30,C,position 13F (trimestre),exécuté,139.9600067138672,421699500.22888184,3013000
2022-06-30,KO,position 13F (trimestre),exécuté,81.2699966430664,78019196.77734375,960000
2022-06-30,DVA,position 13F (trimestre),exécuté,222.47999572753906,4118879396.2618713,18513482
2022-06-30,FND,position 13F (trimestre),exécuté,59.36000061035156,27786416.285705566,468100
2022-06-30,GM,position 13F (trimestre),exécuté,77.08000183105469,1134344224.1866302,14716453
2022-06-30,GL,position 13F (trimestre),exécuté,178.35330200195312,626840693.5693665,3514601
2022-06-30,HPQ,position 13F (trimestre),exécuté,21.940000534057617,2450698.059654236,111700
2022-06-30,JNJ,position 13F (trimestre),exécuté,253.97000122070312,83073587.39929199,327100
2022-06-30,KHC,position 13F (trimestre),exécuté,23.6200008392334,7691494674.443615,325634818
2022-06-30,KR,position 13F (trimestre),exécuté,55.529998779296875,1513595614.5269775,27257260
2022-06-30,MKL,position 13F (trimestre),exécuté,1953.010009765625,6347282.531738281,3250
2022-06-30,MRSH,position 13F (trimestre),exécuté,165.732421875,67106880.673828125,404911
2022-06-30,MA,position 13F (trimestre),exécuté,512.740478515625,2044115803.1933594,3986648
2022-06-30,MCK,position 13F (trimestre),exécuté,755.5999755859375,494044510.4370117,653844
2022-06-30,MDLZ,position 13F (trimestre),exécuté,57.84000015258789,33431520.0881958,578000
2022-06-30,MCO,position 13F (trimestre),exécuté,452.9200134277344,5717549019.508362,12623750
