#,Position,Type,Poids %,Δ poids (pts),Titres,Δ titres %,Δ prix %,Statut,Valeur $,T1 26,T4 25,T3 25
18,CPNG,Actions,1.4913996211829563,-2.0634958610228757,2667485.0,-60.615372213032835,-19.966311355740096,Allégé,50362000.0,1.4913996211829563,3.554895482205832,3.672744702551918
19,OPCH,Actions,1.4895931921910148,0.25193341179519324,1868550.0,7.021965119276039,-15.506000765597738,Renforcé,50301000.0,1.4895931921910148,1.2376597803958216,0.6681678964786585
20,AMZN,CALL,1.2335244791857922,0.7199577468826183,200000.0,100.0,-9.76951737284464,Renforcé,41654000.0,1.2335244791857922,0.513566732303174,
21,CRH,Actions,1.1753337747732489,-0.1434927779751407,377555.0,-20.507205945826446,-15.767797116753046,Allégé,39689000.0,1.1753337747732489,1.3188265527483896,1.1624560592397395
22,FIGR,Actions,1.156617985873133,-0.24255210167929286,1150415.0,-25.287296603097186,-16.870079474218823,Allégé,39057000.0,1.156617985873133,1.3991700875524258,1.8953457198332941
23,ARGT,Actions,1.0705905068306707,,387400.0,,,Nouveau,36152000.0,1.0705905068306707,,0.4362872208612352
24,CAI,Actions,1.0031011351481331,,1894450.0,,,Nouveau,33873000.0,1.0031011351481331,,
25,QSR,Actions,0.9945131940389028,-0.8408615459181553,454435.0,-62.41232423490488,8.311037002284927,Allégé,33583000.0,0.9945131940389028,1.8353747399570581,1.7864585525909262
26,RVMD,Actions,0.9096406450076817,,315860.0,,,Nouveau,30717000.0,0.9096406450076817,,
27,LSCC,Actions,0.887637747614033,-0.6282985738491048,323135.0,-65.10308109333995,26.06661933202048,Allégé,29974000.0,0.887637747614033,1.5159363214631378,
28,SNDK,Actions,0.7178630359615592,,38155.0,,,Nouveau,24241000.0,0.7178630359615592,,0.45918232950591126
29,UAL,Actions,0.7157012438892357,-0.1511011457246214,262495.0,-24.657003444316878,-17.661837666386415,Allégé,24168000.0,0.7157012438892357,0.8668023896138571,
30,HUM,Actions,0.7060472135388596,,137505.0,,,Nouveau,23842000.0,0.7060472135388596,,
31,WAB,Actions,0.7022862876048173,-0.7229826552024228,94895.0,-68.37992735996801,17.081126017522806,Allégé,23715000.0,0.7022862876048173,1.42526894280724,1.492465662876172
32,TWLO,Actions,0.6772331904378902,,181760.0,,,Nouveau,22869000.0,0.6772331904378902,,1.263563813222196
33,JBL,Actions,0.6466127383449793,,82200.0,,,Nouveau,21835000.0,0.6466127383449793,,
34,SCCO,Actions,0.6208193014272566,0.2351436347717148,121843.0,0.8492182391550859,19.923093467230757,Renforcé,20964000.0,0.6208193014272566,0.3856756666555418,
35,GSG,Actions,0.6140970164900315,,643000.0,,,Nouveau,20737000.0,0.6140970164900315,,
36,LIN,Actions,0.604857576400101,,41200.0,,,Nouveau,20425000.0,0.604857576400101,,
37,STX,Actions,0.5881851252121814,,50700.0,,,Nouveau,19862000.0,0.5881851252121814,,0.4992118420395061
38,IWM,CALL,0.5801894559035876,-0.6576038224730769,79000.0,-65.04424778761062,0.7477710670117821,Allégé,19592000.0,0.5801894559035876,1.2377932783766645,1.3462077699105588
39,CLF,Actions,0.578916071532219,0.06312437288166117,2313455.0,32.52647287121453,-36.368669306619864,Renforcé,19549000.0,0.578916071532219,0.5157916986505579,0.8154351436963488
40,NUVB,Actions,0.5767542794598954,,4539800.0,,,Nouveau,19476000.0,0.5767542794598954,,
41,BE,Actions,0.5469630078878758,-0.8847138379998303,136320.0,-81.59193566900053,55.93270666970045,Allégé,18470000.0,0.5469630078878758,1.431676845887706,
42,INTC,Actions,0.5376347270278499,,411400.0,,,Nouveau,18155000.0,0.5376347270278499,,
43,BLTE,Actions,0.5009731025684458,,106100.0,,,Nouveau,16917000.0,0.5009731025684458,,
44,PTGX,Actions,0.49845594741574045,0.1881176412826207,159700.0,0.0,20.676799541152846,Inchangé,16832000.0,0.49845594741574045,0.31033830613311975,0.2611765673240517
45,U,Actions,0.4800066808259112,0.07704302565119575,738785.0,80.18267401590167,-50.32924471281881,Renforcé,16209000.0,0.4800066808259112,0.40296365517471544,0.8698910365157289
46,ARM,Actions,0.4780225702937787,,106700.0,,,Nouveau,16142000.0,0.4780225702937787,,0.5848346246913161
47,OLMA,Actions,0.43573436372832725,,986827.0,,,Nouveau,14714000.0,0.43573436372832725,,
48,Q,Actions,0.42933782828145234,,125655.0,,,Nouveau,14498000.0,0.42933782828145234,,
49,ADMA,Actions,0.4123988547832463,0.3100504028035825,1545610.0,512.8509119746234,-50.60150445736493,Renforcé,13926000.0,0.4123988547832463,0.10234845197966382,
50,XENE,Actions,0.410888561691623,,238600.0,,,Nouveau,13875000.0,0.410888561691623,,
51,JBS,Actions,0.3488480905749419,,655900.0,,,Nouveau,11780000.0,0.3488480905749419,,
52,DAKT,Actions,0.3257494903501156,-0.04944658480924763,562637.0,-34.03711780153817,-1.108669138159235,Allégé,11000000.0,0.3257494903501156,0.3751960751593632,0.7400536139436628
53,NET,Actions,0.32101131594502297,,52535.0,,,Nouveau,10840000.0,0.32101131594502297,,
54,LYB,Actions,0.31354869125700213,,131435.0,,,Nouveau,10588000.0,0.31354869125700213,,
55,VIST,Actions,0.30105175626357045,,134700.0,,,Nouveau,10166000.0,0.30105175626357045,,
56,TWST,Actions,0.28988743282157103,,206000.0,,,Nouveau,9789000.0,0.28988743282157103,,
57,COHR,Actions,0.2850011904663193,,40400.0,,,Nouveau,9624000.0,0.2850011904663193,,
58,AMZN,Actions,0.2824840353136138,-3.50732339384902,45800.0,-93.79353334959481,-9.7671392399884,Allégé,9539000.0,0.2824840353136138,3.789807429162634,2.362553646563038
59,CLS,Actions,0.2775681793683303,,33275.0,,,Nouveau,9373000.0,0.2775681793683303,,
60,STUB,Actions,0.25263353656153054,-0.44148921483185466,1367177.0,-40.70578306157083,-53.88154273315744,Allégé,8531000.0,0.25263353656153054,0.6941227513933852,1.76587757320711
61,DBVT,Actions,0.23714562897488414,,383363.0,,,Nouveau,8008000.0,0.23714562897488414,,
62,MU,Actions,0.23409542920160578,,23400.0,,,Nouveau,7905000.0,0.23409542920160578,,
63,ECHO,Actions,0.21067107948642927,0.06371205224171633,60765.0,0.0,7.706283118849355,Inchangé,7114000.0,0.21067107948642927,0.14695902724471294,0.11422935925945894
64,ALM,Actions,0.20149086657656237,0.10937725979486494,469880.0,0.0,64.34782608695654,Inchangé,6804000.0,0.20149086657656237,0.09211360678169743,
65,PCT,Actions,0.1480383365691116,-0.40210684248505524,963189.0,-66.5377423974286,-39.580930346217514,Allégé,4999000.0,0.1480383365691116,0.5501451790541668,0.7455927531318909
66,LITE,Actions,0.14489929602573776,,6963.0,,,Nouveau,4893000.0,0.14489929602573776,,
67,MELI,Actions,0.14161218753220478,-1.9714383525783763,2766.0,-94.13349169653651,-14.169143949327989,Allégé,4782000.0,0.14161218753220478,2.113050540110581,3.3566198744806446
68,SOLS,Actions,0.1410199157315682,,62525.0,,,Nouveau,4762000.0,0.1410199157315682,,
69,WLK,Actions,0.07332324891880783,,21194.0,,,Nouveau,2476000.0,0.07332324891880783,,
70,WVE,Actions,0.03713544189991317,-0.028300818376650154,173000.0,0.0,-57.361441686501195,Inchangé,1254000.0,0.03713544189991317,0.06543626027656332,
