#,Position,Type,Poids %,Δ poids (pts),Titres,Δ titres %,Δ prix %,Statut,Valeur $,T3 25,T2 25,T1 25,T4 24,T3 24,T2 24
1,PLTR,PUT,66.03687160073919,,5000000.0,,,Nouveau,912100000.0,66.03687160073919,,,,,
2,NVDA,PUT,13.508562112998485,,1000000.0,,,Nouveau,186580000.0,13.508562112998485,,48.960722800853304,,,
3,PFE,CALL,11.068651387261271,,6000000.0,,,Nouveau,152880000.0,11.068651387261271,,,,,
4,HAL,CALL,4.452656072191053,,2500000.0,,,Nouveau,61500000.0,4.452656072191053,,,,,
5,MOH,Actions,1.7318298088912192,,125000.0,,,Nouveau,23920000.0,1.7318298088912192,,,9.396574792389774,7.966497981266383,13.894383829526646
6,LULU,Actions,1.288229422642202,-0.7657631765522055,100000.0,100.0,-25.10733226702585,Renforcé,17793000.0,1.288229422642202,2.0539925991944075,,,,
7,SLM,Actions,0.9620557131445063,,480054.0,,,Nouveau,13287895.0,0.9620557131445063,,,,,
8,BRKRP,Actions,0.9511438821320802,,48334.0,,,Nouveau,13137181.0,0.9511438821320802,,,,,
