#,Position,Type,Poids %,Δ poids (pts),Titres,Δ titres %,Δ prix %,Statut,Valeur $,T1 26,T4 25,T3 25
1,AAPL,Actions,21.985634774005366,-0.6149326640169654,227917808.0,0.0,-6.646803500885734,Inchangé,57843260493.0,21.985634774005366,22.60056743802233,22.68922105206239
2,AXP,Actions,17.430617039247302,-3.027641177664556,151610700.0,0.0,-18.237599675631834,Inchangé,45859204536.0,17.430617039247302,20.458258216911858,18.83745260852146
3,KO,Actions,11.562332484804855,1.3624524306022021,400000000.0,0.0,8.782720640823927,Inchangé,30420000000.0,11.562332484804855,10.199880054202653,9.923148641870931
4,BAC,Actions,9.51713680772366,-0.8604774950574257,513624165.0,-0.7098004756403131,-11.363636362751384,Allégé,25039178044.0,9.51713680772366,10.377614302781085,10.962570003004386
5,CVX,Actions,6.635366662821706,-0.6002347588522117,84375856.0,-35.1734677402861,35.75224723447925,Allégé,17457364606.0,6.635366662821706,7.235601421673918,7.090533174872707
6,OXY,Actions,6.545600244064069,2.5718665857137695,264941431.0,0.0,58.073929957026785,Inchangé,17221193015.0,6.545600244064069,3.9737336583502993,4.682703700215701
7,GOOGL,Actions,5.929428607658505,3.891990367389804,54249798.0,203.98613885286804,-8.127795526449832,Renforcé,15600071913.0,5.929428607658505,2.0374382402687012,1.622834721771257
8,CB,Actions,4.242880466510539,0.34375163027756983,34249183.0,0.0,4.424580287464064,Inchangé,11162836215.0,4.242880466510539,3.8991288362329692,3.3081063421767567
9,MCO,Actions,4.090599164853553,-0.5061881515089466,24669778.0,0.0,-14.603112460401979,Inchangé,10762190653.0,4.090599164853553,4.5967873163625,4.396984203325407
10,KHC,Actions,2.783598119477265,-0.09670602399643835,325634818.0,0.0,-7.257731962355695,Inchangé,7323527057.0,2.783598119477265,2.8803041434737033,3.1718803966527847
11,DVA,Actions,1.758355931406972,0.44228275007074846,30100585.0,-5.2220680929995895,35.27858462874689,Allégé,4626158909.0,1.758355931406972,1.3160731813362236,1.598437949741069
12,KR,Actions,1.3751649878377374,0.23568475291680024,50000000.0,0.0,15.813060179257366,Inchangé,3618000000.0,1.3751649878377374,1.1394802349209372,1.2607800251564054
13,SIRI,Actions,1.0948670848338626,0.18462579660374123,124807117.0,0.0,15.428857172818876,Inchangé,2880548260.0,1.0948670848338626,0.9102412882301214,1.0866108294128733
14,DAL,Actions,1.0059201268164593,,39809456.0,,,Nouveau,2646532635.0,1.0059201268164593,,
15,VRSN,Actions,0.8486366621361242,0.0519884803087024,8989880.0,0.0,2.2267956461194727,Inchangé,2232726597.0,0.8486366621361242,0.7966481818274218,0.9401333287025779
16,COF,Actions,0.4957794757955652,-0.1362870007116,7150000.0,0.0,-24.72767783462618,Inchangé,1304374500.0,0.4957794757955652,0.6320664765071652,0.5685562427912317
17,NYT,Actions,0.48203728103168125,0.3537677169855019,15146535.0,198.99921906831455,20.6136562143419,Renforcé,1268219376.0,0.48203728103168125,0.12826956404617934,
18,ALLY,Actions,0.4324167915183413,-0.04665002553895331,29000000.0,0.0,-13.380437248551157,Inchangé,1137670000.0,0.4324167915183413,0.4790668170572946,0.4252350488570143
19,GOOG,Actions,0.3909051957309392,,3585215.0,,,Nouveau,1028454775.0,0.3909051957309392,,
20,LLYVK,Actions,0.3787047885922267,0.04754327674525499,10587143.0,-3.027370056644917,13.167388292785809,Allégé,996356028.0,0.3787047885922267,0.33116151184697173,
21,LEN,Actions,0.3333588876971717,0.06897406468297756,10099642.0,43.23803175458626,-15.525291855762402,Renforcé,877052911.0,0.3333588876971717,0.26438482301419414,0.33243061838295523
22,NUE,Actions,0.25112017187472463,-0.13010524703166199,3907075.0,-39.025779567832636,3.6723684575267646,Allégé,660686383.0,0.25112017187472463,0.3812254189063866,0.3246125885936248
23,LLYVA,Actions,0.17368999903809415,0.025452913220701312,4986588.0,0.0,12.441717682058284,Inchangé,456970925.0,0.17368999903809415,0.14823708581739284,
24,LPX,Actions,0.15664022080480378,-0.01022895716526992,5664793.0,0.0,-9.918276382806168,Inchangé,412113691.0,0.15664022080480378,0.1668691779700737,0.1882511263303803
25,STZ,Actions,0.03608325742755496,-0.6180892815372346,632890.0,-95.13161538461539,8.727167294868066,Allégé,94933500.0,0.03608325742755496,0.6541725389647896,0.6750262262458595
26,NVR,Actions,0.0278325301425978,-0.0017258424765280202,11112.0,0.0,-9.638861185583025,Inchangé,73226191.0,0.0278325301425978,0.02955837261912582,0.033396789919405374
27,M,Actions,0.020891197102113134,,3038355.0,,,Nouveau,54963842.0,0.020891197102113134,,
28,LENB,Actions,0.007600114988073121,0.0013210033175349717,237703.0,31.342137252735107,-11.564343428395818,Renforcé,19995576.0,0.007600114988073121,0.00627911167053815,0.008123077957088899
29,JEF,Actions,0.006800924058130563,-0.002999039650409511,433558.0,0.0,-33.403257731834444,Inchangé,17892939.0,0.006800924058130563,0.009799963708540074,0.01060969077787586
